#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
34        	5         	ok              	2.2340000000e+01	3.0000000000e+02	1.1808861639e+21	5.3935932418e+20	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	5         	ok              	1.7440000000e+01	3.0000000000e+02	9.2187353168e+20	4.2105759237e+20	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	5         	ok              	1.3620000000e+01	3.0000000000e+02	7.1994939802e+20	3.2883052799e+20	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	5         	ok              	1.0640000000e+01	3.0000000000e+02	5.6242742988e+20	2.5688376048e+20	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	5         	ok              	8.3070000000e+00	3.0000000000e+02	4.3910570112e+20	2.0055765022e+20	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	5         	ok              	6.4880000000e+00	3.0000000000e+02	3.4295386889e+20	1.5664115019e+20	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	5         	ok              	5.0660000000e+00	3.0000000000e+02	2.6778734584e+20	1.2230950476e+20	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	5         	ok              	3.9570000000e+00	3.0000000000e+02	2.0916591541e+20	9.5534684233e+19	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	5         	ok              	3.0900000000e+00	3.0000000000e+02	1.6333653744e+20	7.4602520667e+19	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	5         	ok              	2.4130000000e+00	3.0000000000e+02	1.2755050642e+20	5.8257567110e+19	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
